ID_ID,day,month,year,TotalCase,DeathCount,CountriesAndTerritories,GeoId,countryterritoryCode,popData2018,cONTINENT
79,11,3,2020,3,0,Afghanistan,AF,AFG,37172386,Asia
80,8,3,2020,3,0,Afghanistan,AF,AFG,37172386,Asia
81,2,3,2020,0,0,Afghanistan,AF,AFG,37172386,Asia
82,1,3,2020,0,0,Afghanistan,AF,AFG,37172386,Asia
83,29,2,2020,0,0,Afghanistan,AF,AFG,37172386,Asia
84,28,2,2020,0,0,Afghanistan,AF,AFG,37172386,Asia
85,27,2,2020,0,0,Afghanistan,AF,AFG,37172386,Asia
86,26,2,2020,0,0,Afghanistan,AF,AFG,37172386,Asia
87,25,2,2020,1,0,Afghanistan,AF,AFG,37172386,Asia
88,24,2,2020,0,0,Afghanistan,AF,AFG,37172386,Asia
89,23,2,2020,0,0,Afghanistan,AF,AFG,37172386,Asia
90,22,2,2020,0,0,Afghanistan,AF,AFG,37172386,Asia
91,21,2,2020,0,0,Afghanistan,AF,AFG,37172386,Asia
92,20,2,2020,0,0,Afghanistan,AF,AFG,37172386,Asia
93,19,2,2020,0,0,Afghanistan,AF,AFG,37172386,Asia
94,18,2,2020,0,0,Afghanistan,AF,AFG,37172386,Asia
95,17,2,2020,0,0,Afghanistan,AF,AFG,37172386,Asia
96,16,2,2020,0,0,Afghanistan,AF,AFG,37172386,Asia
97,15,2,2020,0,0,Afghanistan,AF,AFG,37172386,Asia
98,14,2,2020,0,0,Afghanistan,AF,AFG,37172386,Asia
99,13,2,2020,0,0,Afghanistan,AF,AFG,37172386,Asia
100,12,2,2020,0,0,Afghanistan,AF,AFG,37172386,Asia
101,11,2,2020,0,0,Afghanistan,AF,AFG,37172386,Asia
102,10,2,2020,0,0,Afghanistan,AF,AFG,37172386,Asia
103,9,2,2020,0,0,Afghanistan,AF,AFG,37172386,Asia
104,8,2,2020,0,0,Afghanistan,AF,AFG,37172386,Asia
105,7,2,2020,0,0,Afghanistan,AF,AFG,37172386,Asia
106,6,2,2020,0,0,Afghanistan,AF,AFG,37172386,Asia
107,5,2,2020,0,0,Afghanistan,AF,AFG,37172386,Asia
108,4,2,2020,0,0,Afghanistan,AF,AFG,37172386,Asia
109,3,2,2020,0,0,Afghanistan,AF,AFG,37172386,Asia
110,2,2,2020,0,0,Afghanistan,AF,AFG,37172386,Asia
111,1,2,2020,0,0,Afghanistan,AF,AFG,37172386,Asia
112,31,1,2020,0,0,Afghanistan,AF,AFG,37172386,Asia
113,30,1,2020,0,0,Afghanistan,AF,AFG,37172386,Asia
114,29,1,2020,0,0,Afghanistan,AF,AFG,37172386,Asia
115,28,1,2020,0,0,Afghanistan,AF,AFG,37172386,Asia
116,27,1,2020,0,0,Afghanistan,AF,AFG,37172386,Asia
117,26,1,2020,0,0,Afghanistan,AF,AFG,37172386,Asia
118,25,1,2020,0,0,Afghanistan,AF,AFG,37172386,Asia
119,24,1,2020,0,0,Afghanistan,AF,AFG,37172386,Asia
120,23,1,2020,0,0,Afghanistan,AF,AFG,37172386,Asia
121,22,1,2020,0,0,Afghanistan,AF,AFG,37172386,Asia
122,21,1,2020,0,0,Afghanistan,AF,AFG,37172386,Asia
123,20,1,2020,0,0,Afghanistan,AF,AFG,37172386,Asia
124,19,1,2020,0,0,Afghanistan,AF,AFG,37172386,Asia
125,18,1,2020,0,0,Afghanistan,AF,AFG,37172386,Asia
126,17,1,2020,0,0,Afghanistan,AF,AFG,37172386,Asia
127,16,1,2020,0,0,Afghanistan,AF,AFG,37172386,Asia
128,15,1,2020,0,0,Afghanistan,AF,AFG,37172386,Asia
129,14,1,2020,0,0,Afghanistan,AF,AFG,37172386,Asia
130,13,1,2020,0,0,Afghanistan,AF,AFG,37172386,Asia
131,12,1,2020,0,0,Afghanistan,AF,AFG,37172386,Asia
132,11,1,2020,0,0,Afghanistan,AF,AFG,37172386,Asia
133,10,1,2020,0,0,Afghanistan,AF,AFG,37172386,Asia
134,9,1,2020,0,0,Afghanistan,AF,AFG,37172386,Asia
135,8,1,2020,0,0,Afghanistan,AF,AFG,37172386,Asia
136,7,1,2020,0,0,Afghanistan,AF,AFG,37172386,Asia
137,6,1,2020,0,0,Afghanistan,AF,AFG,37172386,Asia
138,5,1,2020,0,0,Afghanistan,AF,AFG,37172386,Asia
139,4,1,2020,0,0,Afghanistan,AF,AFG,37172386,Asia
140,3,1,2020,0,0,Afghanistan,AF,AFG,37172386,Asia
141,2,1,2020,0,0,Afghanistan,AF,AFG,37172386,Asia
142,1,1,2020,0,0,Afghanistan,AF,AFG,37172386,Asia
143,31,12,2019,0,0,Afghanistan,AF,AFG,37172386,Asia
144,31,5,2020,23,0,Albania,AL,ALB,2866376,Europe
145,30,5,2020,23,0,Albania,AL,ALB,2866376,Europe
146,29,5,2020,26,0,Albania,AL,ALB,2866376,Europe
147,28,5,2020,21,0,Albania,AL,ALB,2866376,Europe
148,27,5,2020,25,1,Albania,AL,ALB,2866376,Europe
149,26,5,2020,6,0,Albania,AL,ALB,2866376,Europe
150,25,5,2020,9,1,Albania,AL,ALB,2866376,Europe
151,24,5,2020,8,0,Albania,AL,ALB,2866376,Europe
152,23,5,2020,12,0,Albania,AL,ALB,2866376,Europe
153,22,5,2020,5,0,Albania,AL,ALB,2866376,Europe
154,21,5,2020,15,0,Albania,AL,ALB,2866376,Europe
155,20,5,2020,1,0,Albania,AL,ALB,2866376,Europe
156,19,5,2020,2,0,Albania,AL,ALB,2866376,Europe
157,18,5,2020,13,0,Albania,AL,ALB,2866376,Europe
158,17,5,2020,17,0,Albania,AL,ALB,2866376,Europe
159,16,5,2020,18,0,Albania,AL,ALB,2866376,Europe
160,15,5,2020,18,0,Albania,AL,ALB,2866376,Europe
161,14,5,2020,4,0,Albania,AL,ALB,2866376,Europe
162,13,5,2020,4,0,Albania,AL,ALB,2866376,Europe
163,12,5,2020,4,0,Albania,AL,ALB,2866376,Europe
164,11,5,2020,12,0,Albania,AL,ALB,2866376,Europe
165,10,5,2020,6,0,Albania,AL,ALB,2866376,Europe
166,9,5,2020,8,0,Albania,AL,ALB,2866376,Europe
167,8,5,2020,10,0,Albania,AL,ALB,2866376,Europe
168,7,5,2020,12,0,Albania,AL,ALB,2866376,Europe
169,6,5,2020,17,0,Albania,AL,ALB,2866376,Europe
170,5,5,2020,8,0,Albania,AL,ALB,2866376,Europe
171,4,5,2020,6,0,Albania,AL,ALB,2866376,Europe
172,3,5,2020,7,0,Albania,AL,ALB,2866376,Europe
173,2,5,2020,9,0,Albania,AL,ALB,2866376,Europe
174,1,5,2020,7,0,Albania,AL,ALB,2866376,Europe
175,30,4,2020,16,1,Albania,AL,ALB,2866376,Europe
176,29,4,2020,14,2,Albania,AL,ALB,2866376,Europe
177,28,4,2020,10,0,Albania,AL,ALB,2866376,Europe
178,27,4,2020,14,1,Albania,AL,ALB,2866376,Europe
179,26,4,2020,34,0,Albania,AL,ALB,2866376,Europe
180,25,4,2020,15,0,Albania,AL,ALB,2866376,Europe
181,24,4,2020,29,0,Albania,AL,ALB,2866376,Europe
182,23,4,2020,25,1,Albania,AL,ALB,2866376,Europe
183,22,4,2020,25,0,Albania,AL,ALB,2866376,Europe
184,21,4,2020,22,0,Albania,AL,ALB,2866376,Europe
185,20,4,2020,14,0,Albania,AL,ALB,2866376,Europe
186,19,4,2020,9,0,Albania,AL,ALB,2866376,Europe
187,18,4,2020,21,0,Albania,AL,ALB,2866376,Europe
188,17,4,2020,24,1,Albania,AL,ALB,2866376,Europe
189,16,4,2020,19,1,Albania,AL,ALB,2866376,Europe
190,15,4,2020,8,1,Albania,AL,ALB,2866376,Europe
191,14,4,2020,21,0,Albania,AL,ALB,2866376,Europe
192,13,4,2020,13,0,Albania,AL,ALB,2866376,Europe
193,12,4,2020,17,0,Albania,AL,ALB,2866376,Europe
194,11,4,2020,7,0,Albania,AL,ALB,2866376,Europe
195,10,4,2020,9,1,Albania,AL,ALB,2866376,Europe
196,9,4,2020,17,0,Albania,AL,ALB,2866376,Europe
197,8,4,2020,6,0,Albania,AL,ALB,2866376,Europe
198,7,4,2020,16,1,Albania,AL,ALB,2866376,Europe
199,6,4,2020,28,2,Albania,AL,ALB,2866376,Europe
200,5,4,2020,29,2,Albania,AL,ALB,2866376,Europe
201,4,4,2020,27,1,Albania,AL,ALB,2866376,Europe
202,3,4,2020,18,1,Albania,AL,ALB,2866376,Europe
203,2,4,2020,16,0,Albania,AL,ALB,2866376,Europe
204,1,4,2020,20,3,Albania,AL,ALB,2866376,Europe
205,31,3,2020,11,2,Albania,AL,ALB,2866376,Europe
206,30,3,2020,15,0,Albania,AL,ALB,2866376,Europe
207,29,3,2020,11,1,Albania,AL,ALB,2866376,Europe
208,28,3,2020,12,3,Albania,AL,ALB,2866376,Europe
209,27,3,2020,28,1,Albania,AL,ALB,2866376,Europe
210,26,3,2020,23,0,Albania,AL,ALB,2866376,Europe
211,25,3,2020,23,1,Albania,AL,ALB,2866376,Europe
212,24,3,2020,11,2,Albania,AL,ALB,2866376,Europe
213,23,3,2020,13,0,Albania,AL,ALB,2866376,Europe
214,22,3,2020,6,0,Albania,AL,ALB,2866376,Europe
215,21,3,2020,0,0,Albania,AL,ALB,2866376,Europe
216,20,3,2020,11,0,Albania,AL,ALB,2866376,Europe
217,19,3,2020,4,1,Albania,AL,ALB,2866376,Europe
218,18,3,2020,4,0,Albania,AL,ALB,2866376,Europe
219,17,3,2020,9,0,Albania,AL,ALB,2866376,Europe
220,16,3,2020,4,0,Albania,AL,ALB,2866376,Europe
221,15,3,2020,5,0,Albania,AL,ALB,2866376,Europe
222,14,3,2020,10,0,Albania,AL,ALB,2866376,Europe
223,13,3,2020,12,0,Albania,AL,ALB,2866376,Europe
224,12,3,2020,1,1,Albania,AL,ALB,2866376,Europe
225,11,3,2020,4,0,Albania,AL,ALB,2866376,Europe
226,10,3,2020,4,0,Albania,AL,ALB,2866376,Europe
227,9,3,2020,2,0,Albania,AL,ALB,2866376,Europe
228,31,5,2020,133,8,Algeria,DZ,DZA,42228429,Africa
229,30,5,2020,137,8,Algeria,DZ,DZA,42228429,Africa
230,29,5,2020,140,7,Algeria,DZ,DZA,42228429,Africa
231,28,5,2020,160,6,Algeria,DZ,DZA,42228429,Africa
232,27,5,2020,194,8,Algeria,DZ,DZA,42228429,Africa
233,26,5,2020,197,9,Algeria,DZ,DZA,42228429,Africa
234,25,5,2020,193,8,Algeria,DZ,DZA,42228429,Africa
235,24,5,2020,195,10,Algeria,DZ,DZA,42228429,Africa
236,23,5,2020,190,7,Algeria,DZ,DZA,42228429,Africa
237,22,5,2020,186,7,Algeria,DZ,DZA,42228429,Africa
238,21,5,2020,165,7,Algeria,DZ,DZA,42228429,Africa
239,20,5,2020,176,6,Algeria,DZ,DZA,42228429,Africa
240,19,5,2020,182,7,Algeria,DZ,DZA,42228429,Africa
241,18,5,2020,198,6,Algeria,DZ,DZA,42228429,Africa
242,17,5,2020,192,6,Algeria,DZ,DZA,42228429,Africa
243,16,5,2020,187,7,Algeria,DZ,DZA,42228429,Africa
